question,answer
"What are the symptoms of type 2 diabetes?","Type 2 diabetes symptoms include increased thirst, frequent urination, fatigue, blurred vision, and slow wound healing. Many people have no symptoms initially and are diagnosed through blood tests. Weight loss despite increased appetite, numbness in extremities, and frequent infections may also occur."
"How is hypertension treated?","Hypertension is treated through lifestyle changes including reducing salt intake, regular exercise, weight loss, stress management, and limiting alcohol. Medications like ACE inhibitors, angiotensin II receptor blockers (ARBs), beta-blockers, calcium channel blockers, or diuretics may be prescribed. Treatment aims for target BP <140/90 mmHg for most patients."
"What is the treatment for acute myocardial infarction?","Acute MI requires emergency treatment including aspirin, antiplatelet therapy (clopidogrel/ticagrelor), anticoagulation (heparin), and revascularization via PCI or thrombolysis. Beta-blockers and ACE inhibitors should be initiated. Nitrates for symptom relief. Troponin elevation confirms diagnosis. Early reperfusion is critical."
"Describe the pathophysiology of asthma.","Asthma involves airway inflammation with bronchial hyperresponsiveness and reversible airflow obstruction. Inflammatory cells (mast cells, eosinophils, T cells) release mediators like histamine and leukotrienes causing bronchoconstriction, mucus production, and airway edema. Triggers include allergens, exercise, infections, and cold air."
"What are the diagnostic criteria for COPD?","COPD is diagnosed with spirometry showing FEV1/FVC ratio <0.70. GOLD classification: Group A: 0-1 exacerbations, FEV1 ≥50%; Group B: ≥2 exacerbations or ≥1 leading to hospitalization, FEV1 ≥50%; Group C: 0-1 exacerbations, FEV1 <50%; Group D: ≥2/≥1 hospitalized, FEV1 <50%."
"How is sepsis managed in clinical practice?","Sepsis management includes early recognition via qSOFA criteria, blood cultures before antibiotics, broad-spectrum antibiotics within 1 hour, IV fluids (30 mL/kg for hypotension), vasopressors (norepinephrine) for refractory shock, and urgent source control. Lactate monitoring tracks perfusion. Serial assessments guide therapy escalation."
"What is the mechanism of action of metformin?","Metformin reduces hepatic glucose production and improves insulin sensitivity in muscle tissue by activating AMP-activated protein kinase (AMPK). This affects mitochondrial function, glucose metabolism, and increases GLUT4 translocation. It has minimal hypoglycemia risk and cardiovascular benefits in type 2 diabetes."
"Explain the stages of chronic kidney disease.","CKD stages based on GFR (mL/min/1.73m²): Stage 1: ≥90 (kidney damage with normal/high GFR); Stage 2: 60-89 (kidney damage with mild GFR decrease); Stage 3a: 45-59 (mild-moderate decrease); Stage 3b: 30-44 (moderate-severe decrease); Stage 4: 15-29 (severe decrease); Stage 5: <15 (kidney failure)."
"What are the risk factors for stroke?","Stroke risk factors include hypertension (most important), atrial fibrillation, diabetes, smoking, high cholesterol, obesity, physical inactivity, excessive alcohol, family history, advancing age, prior stroke/TIA, and left ventricular hypertrophy. Modifiable factors should be aggressively managed for primary prevention."
"How is pneumonia diagnosed and treated?","Pneumonia is diagnosed via chest X-ray showing infiltrates, clinical presentation (cough, fever, dyspnea), and sometimes PCR or culture. Treatment involves antibiotics: amoxicillin-clavulanate for CAP outpatients, fluoroquinolones, or macrolides. Severe cases may need IV cephalosporins or respiratory support. Follow-up CXR at 4-6 weeks recommended."
"What is the first-line treatment for atrial fibrillation?","First-line includes rate control with beta-blockers or calcium channel blockers targeting resting HR <110 bpm. Stroke prevention with anticoagulation (DOACs preferred over warfarin). Consider rhythm control if symptomatic or HF present. P-waves not visible, irregular RR intervals on ECG confirm diagnosis."
"Describe acute kidney injury management.","AKI management involves identifying cause (prerenal, intrinsic, post-renal), fluid assessment and careful resuscitation, avoiding nephrotoxins, monitoring electrolytes/creatinine. Indications for dialysis: severe hyperkalemia unresponsive to medical therapy, severe metabolic acidosis, uremia with complications, volume repletion-refractory pulmonary edema."
"What are the symptoms of congestive heart failure?","CHF symptoms include dyspnea (exertional, orthopnea, PND), fatigue, peripheral edema, weight gain, ventricular gallop (S3), elevated JVP, hepatomegaly, and crackles on lung exam. Reduced EF (<40%) indicates systolic HF. Preserved EF with diastolic dysfunction indicates diastolic HF. BNP/NT-proBNP elevated."
"How is thyroid cancer diagnosed and treated?","Thyroid cancer diagnosis involves TSH-suppressed thyroid nodule evaluation with ultrasound and FNA biopsy. Treatment: Total thyroidectomy for most. Papillary/follicular cancers need radioactive iodine ablation and thyroid hormone suppression. Medullary cancers require calcitonin/CEA monitoring. Anaplastic cancers have poor prognosis despite aggressive treatment."
"Explain the pathophysiology of pancreatitis.","Acute pancreatitis involves premature activation of pancreatic zymogens leading to autodigestion and inflammation. Amylase and lipase leak into circulation. Triggers: gallstones, alcohol, medications, trauma. Complications include necrosis, infection, pseudocyst, systemic inflammatory response, and organ failure. Severity assessed by APACHE II or BISAP scores."
"What is the management of acute coronary syndrome?","ACS management (STEMI/NSTEMI/unstable angina): dual antiplatelet therapy (aspirin + P2Y12 inhibitor), anticoagulation, beta-blockers, ACE-I, statins. Primary PCI preferred for STEMI. Troponin elevation confirms MI. Serial ECGs detect ST changes. Risk stratification guides intensity of intervention. Early reperfusion saves myocardium."
"Describe the diagnosis and treatment of pneumothorax.","Pneumothorax diagnosis: chest X-ray or CT showing lung collapse with visceral pleural line. Primary spontaneous (thin males) vs secondary (lung disease). Treatment: observation for small (<2cm), high-flow O2, needle aspiration or chest tube for large/symptomatic. Recurrence reduction with pleurodesis or VATS pleurectomy."
"What are the complications of diabetes mellitus?","Acute complications: DKA, HHS, hypoglycemia. Chronic: microvascular (retinopathy, nephropathy, neuropathy), macrovascular (CAD, stroke, PAD), diabetic foot ulcers, gastroparesis, erectile dysfunction. Intensive glycemic control reduces complications. Screening: annual eye exams, microalbumin screens, foot exams, lipid panels."
"How is Alzheimer's disease diagnosed and managed?","Alzheimer's diagnosis: cognitive impairment on neuropsych testing, brain atrophy on MRI, amyloid/tau biomarkers. Treatment: cholinesterase inhibitors (donepezil), NMDA antagonist (memantine), amyloid monoclonal antibodies (aducanumab). Supportive care, cognitive stimulation, management of behavioral symptoms essential. Prognosis: progressive decline over 8-10 years."
"What is the management of acute decompensated heart failure?","Acute HF management: diuretics for volume overload, vasodilators (nitrates) for afterload reduction, inotropes (dobutamine) if cardiogenic shock, ACE-I/ARB/ARNI long-term. Address underlying cause. Echocardiography assess EF. BNP monitoring guides therapy. Consider mechanical support if cardiogenic shock refractory to medical therapy."
